Team,Number,Last,First,GP,PA,AB,AVG,OBP,OPS,SLG,H,1B,2B,3B,HR,RBI,R,BB,SO,K-L,HBP,SAC,SF,ROE,FC,SB,SB%,CS,PIK,QAB,QAB%,PA/BB,BB/K,C%,HHB,LD%,FB%,GB%,BABIP,BA/RISP,LOB,2OUTRBI,XBH,TB,PS,PS/PA,2S+3,2S+3%,6+,6+%,AB/HR,GIDP,GITP,CI
Whalley Chiefs,98,Pietraroia,Jonathan,10,28,21,0.286,0.423,0.709,0.286,6,6,0,0,0,4,2,5,1,0,0,2,0,0,0,0,-,0,0,12,42.86,5.6,5,95.24,1,4.55,27.27,59.09,0.3,0.167,21,2,0,6,103,3.679,4,14.29,8,28.57,-,1,0,0
White Rock Tritons,38,Glentworth,Lunden,19,26,24,0.167,0.231,0.481,0.25,4,3,0,1,0,2,2,1,15,6,1,0,0,0,0,0,-,0,0,9,34.62,26,0.067,37.5,2,22.22,55.56,11.11,0.444,0.333,12,2,1,6,105,4.038,4,15.38,5,19.23,-,0,0,0
Langley Blaze,14,Miller,Nixon,13,25,20,0.1,0.24,0.34,0.1,2,2,0,0,0,4,1,4,13,2,0,0,1,0,0,1,50,1,0,12,48,6.3,0.308,35,1,12.5,37.5,50,0.25,0.222,15,0,0,2,112,4.48,5,20,7,28,-,0,0,0
Delta Blue Jays,20,Moncion,Yormon,17,23,21,0.095,0.174,0.269,0.095,2,2,0,0,0,1,4,2,11,4,0,0,0,2,1,2,100,0,0,8,34.78,11.5,0.182,47.62,2,10,30,60,0.2,0.125,17,1,0,2,84,3.652,2,8.7,4,17.39,-,0,0,0
Langley Blaze,3,Nesbitt,Ian,6,14,13,0.231,0.286,0.516,0.231,3,3,0,0,0,3,0,1,5,0,0,0,0,0,0,1,100,0,0,7,50,14,0.2,61.54,1,0,37.5,62.5,0.375,0.2,7,0,0,3,68,4.857,4,28.57,5,35.71,-,0,0,0
UBC Thunder,33,Kwok,Nathan,8,14,14,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,-,0,0,3,21.43,-,0,42.86,1,16.67,33.33,50,0,0,10,0,0,0,45,3.214,2,14.29,1,7.14,-,0,0,0
Victoria Mariners,14,Therrien,Aiden,7,12,7,0.286,0.583,0.869,0.286,2,2,0,0,0,1,3,5,2,2,0,0,0,0,0,0,0,1,0,7,58.33,2.4,2.5,71.43,0,0,20,80,0.4,0.333,4,0,0,2,64,5.333,3,25,7,58.33,-,1,0,0
North Shore Twins,36,Lima (BTM),Isaac,6,11,10,0.2,0.273,0.473,0.2,2,2,0,0,0,1,3,1,2,0,0,0,0,1,0,2,100,0,0,6,54.55,11,0.5,80,4,25,37.5,37.5,0.25,0.5,4,0,0,2,35,3.182,0,0,1,9.09,-,0,0,0
North Shore Twins,70,Van Heerden (BTM),Douw,4,10,10,0.5,0.5,1.1,0.6,5,4,1,0,0,3,2,0,1,0,0,0,0,1,0,0,-,0,0,6,60,-,0,90,5,22.22,33.33,44.44,0.556,0.5,5,3,1,6,38,3.8,1,10,2,20,-,0,0,0
Victoria Mariners,30,Daley,Oliver,11,10,8,0.125,0.3,0.425,0.125,1,1,0,0,0,1,1,2,6,2,0,0,0,0,0,1,50,1,0,3,30,5,0.333,25,1,33.33,33.33,0,0.5,0.167,8,0,0,1,38,3.8,1,10,1,10,-,0,0,0
Delta Blue Jays,27,Yau,Nico,4,9,8,0.125,0.125,0.25,0.125,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,-,0,0,2,22.22,-,0,87.5,0,0,25,62.5,0.143,0.25,4,0,0,1,36,4,1,11.11,1,11.11,-,0,0,0
UBC Thunder,17,Pottie,Nathan,6,9,5,0.2,0.556,0.756,0.2,1,1,0,0,0,0,0,4,2,1,0,0,0,0,0,2,66.67,1,0,5,55.56,2.3,2,60,1,33.33,33.33,33.33,0.333,0,2,0,0,1,39,4.333,2,22.22,2,22.22,-,0,0,0
North Shore Twins,59,Puddicombe (BTM),Michael,2,7,6,0.167,0.286,0.452,0.167,1,1,0,0,0,1,1,1,3,2,0,0,0,0,0,1,100,0,0,4,57.14,7,0.333,50,1,0,66.67,33.33,0.333,0.25,7,0,0,1,29,4.143,1,14.29,2,28.57,-,0,0,0
