Team,Number,Last,First,GP,PA,AB,AVG,OBP,OPS,SLG,H,1B,2B,3B,HR,RBI,R,BB,SO,K-L,HBP,SAC,SF,ROE,FC,SB,SB%,CS,PIK,QAB,QAB%,PA/BB,BB/K,C%,HHB,LD%,FB%,GB%,BABIP,BA/RISP,LOB,2OUTRBI,XBH,TB,PS,PS/PA,2S+3,2S+3%,6+,6+%,AB/HR,GIDP,GITP,CI
Victoria Eagles,11,Swan,Thomas,35,91,72,0.278,0.411,0.703,0.292,20,19,1,0,0,10,18,14,19,9,3,1,1,5,4,4,66.67,2,0,49,53.85,6.5,0.737,73.61,19,23.64,27.27,47.27,0.37,0.24,40,2,1,21,358,3.934,11,12.09,19,20.88,-,0,0,0
Abbotsford Cardinals,17,Copeman,Lucas,31,89,75,0.253,0.333,0.653,0.32,19,14,5,0,0,5,5,9,7,5,0,5,0,8,1,2,100,0,0,36,40.45,9.9,1.286,90.67,11,5.48,43.84,43.84,0.279,0.138,48,5,5,24,274,3.079,9,10.11,8,8.99,-,1,0,0
Abbotsford Cardinals,49,Weeks,Colton,34,89,77,0.286,0.356,0.694,0.338,22,19,2,1,0,7,8,6,17,4,3,2,1,2,1,4,80,1,0,30,33.71,14.8,0.353,77.92,8,7.94,34.92,52.38,0.361,0.2,48,2,3,26,295,3.315,9,10.11,12,13.48,-,2,0,0
Victoria Mariners,26,Williams,Nolan,31,89,77,0.364,0.443,0.911,0.468,28,20,8,0,0,12,20,10,14,0,1,1,0,2,0,11,84.62,2,0,39,43.82,8.9,0.714,81.82,15,18.75,50,29.69,0.444,0.429,36,4,8,36,301,3.382,7,7.87,11,12.36,-,1,0,0
UBC Thunder,55,Yu,Lucas,37,88,69,0.261,0.42,0.739,0.319,18,15,2,1,0,11,13,9,19,10,10,0,0,2,1,13,86.67,2,1,32,36.36,9.8,0.474,72.46,13,22,36,42,0.36,0.4,32,3,3,22,328,3.727,6,6.82,13,14.77,-,0,0,0
Victoria Mariners,96,Lampman,Anthony,35,88,72,0.236,0.375,0.639,0.264,17,15,2,0,0,7,10,11,14,6,5,0,0,2,6,4,66.67,2,0,29,32.95,8,0.786,80.56,8,11.86,22.03,64.41,0.293,0.138,49,4,2,19,302,3.432,10,11.36,13,14.77,-,1,0,0
Delta Blue Jays,31,McClelland,Nathan,39,87,67,0.224,0.402,0.626,0.224,15,15,0,0,0,5,17,15,18,10,5,0,0,3,2,18,85.71,3,2,36,41.38,5.8,0.833,73.13,9,10.2,26.53,59.18,0.306,0.208,34,3,0,15,329,3.782,10,11.49,17,19.54,-,0,0,0
North Shore Twins,38,Fong,Lincoln,29,87,73,0.247,0.349,0.664,0.315,18,14,3,1,0,10,18,10,18,7,2,1,1,3,2,1,100,0,0,36,41.38,8.7,0.556,75.34,14,17.54,38.6,40.35,0.321,0.25,36,3,4,23,324,3.724,13,14.94,19,21.84,-,3,0,0
Okanagan A's,29,Giroday,Levi,31,86,73,0.301,0.384,0.795,0.411,22,15,6,1,0,13,14,10,26,8,1,0,2,2,2,5,100,0,0,37,43.02,8.6,0.385,64.38,14,24.49,44.9,30.61,0.449,0.241,45,5,7,30,279,3.244,9,10.47,10,11.63,-,0,0,0
Victoria Eagles,5,Varnes,Caleb,30,86,70,0.257,0.381,0.667,0.286,18,16,2,0,0,7,13,11,9,5,3,2,0,2,3,1,50,1,0,36,41.86,7.8,1.222,87.14,18,20.63,30.16,44.44,0.295,0.375,39,4,2,20,272,3.163,4,4.65,7,8.14,-,1,0,0
Langley Blaze,9,Scott,Holt,27,83,66,0.227,0.366,0.654,0.288,15,13,1,0,1,11,18,11,17,5,4,1,1,0,4,16,88.89,2,1,33,39.76,7.5,0.647,74.24,17,15.69,13.73,62.75,0.286,0.185,41,5,2,19,280,3.373,8,9.64,10,12.05,66,0,0,0
North Shore Twins,24,Mirwald,Max,24,83,74,0.284,0.361,0.686,0.324,21,18,3,0,0,6,13,6,16,10,3,0,0,3,2,5,71.43,2,0,30,36.14,13.8,0.375,78.38,14,17.24,31.03,51.72,0.362,0.172,47,1,3,24,274,3.301,10,12.05,12,14.46,-,3,0,0
UBC Thunder,30,Dartnell,Ben,29,83,67,0.209,0.341,0.595,0.254,14,11,3,0,0,14,6,11,10,2,3,1,1,3,1,3,100,0,0,34,40.96,7.5,1.1,85.07,12,16.95,38.98,42.37,0.241,0.179,55,7,3,17,286,3.446,8,9.64,11,13.25,-,3,0,0
Victoria Mariners,55,Allen,Aiden,36,83,74,0.243,0.301,0.626,0.324,18,13,4,1,0,6,11,7,9,1,0,0,2,7,5,3,75,1,0,35,42.17,11.9,0.778,87.84,14,20.9,19.4,58.21,0.269,0.147,48,0,5,24,311,3.747,7,8.43,13,15.66,-,4,0,0
Mid Island Pirates,28,Watson,Reid,31,81,58,0.172,0.372,0.544,0.172,10,10,0,0,0,4,8,7,16,4,12,3,1,3,1,5,71.43,2,0,28,34.57,11.6,0.438,72.41,6,13.04,52.17,26.09,0.233,0.208,38,0,0,10,297,3.667,12,14.81,15,18.52,-,0,0,0
Victoria Mariners,58,Dalrymple,Jayden,32,81,67,0.209,0.346,0.57,0.224,14,13,1,0,0,7,8,12,19,9,2,0,0,1,2,1,50,1,1,35,43.21,6.8,0.632,71.64,11,8.33,39.58,52.08,0.292,0.172,51,3,1,15,306,3.778,8,9.88,13,16.05,-,1,0,0
Victoria Mariners,80,Fyfe,Connor,31,81,78,0.205,0.225,0.43,0.205,16,16,0,0,0,8,10,1,10,4,1,1,0,8,6,4,80,1,0,23,28.4,81,0.1,87.18,14,15.94,33.33,49.28,0.235,0.184,60,0,0,16,221,2.728,3,3.7,6,7.41,-,0,0,0
